Date,Pollution Level,pH Level,Temperature,Fuzzy Quality Score,Fuzzy Quality Description
2017-10-16,55.34,7.24,9.81,37.26,Poor
2017-11-07,25.27,7.15,12.06,50.64,Average
2017-11-27,44.72,8.41,12.04,41.40,Poor
2017-12-04,41.65,7.46,11.30,45.44,Poor
2017-12-24,94.04,7.76,22.22,16.88,Poor
2018-01-02,11.01,6.86,23.85,81.55,Good
2018-01-28,56.90,8.05,24.44,43.23,Poor
2018-02-06,64.50,7.64,13.34,33.21,Poor
2018-02-22,77.97,7.79,17.83,18.91,Poor
2018-03-07,72.10,7.41,10.04,20.00,Poor
2018-03-12,92.10,8.09,8.50,17.03,Poor
2018-04-12,96.73,8.21,5.08,16.73,Poor
2018-04-27,6.93,6.70,23.15,82.08,Good
2018-05-07,91.38,6.07,7.17,19.36,Poor
2018-05-09,15.45,8.16,8.01,19.77,Poor
2018-06-11,42.63,6.00,17.06,50.27,Average
2018-06-22,87.97,7.43,13.67,17.44,Poor
2018-07-03,21.11,8.72,10.86,21.73,Poor
2018-07-28,1.82,7.88,22.14,59.56,Average
2018-08-22,13.25,6.16,24.43,72.48,Good
2018-08-26,31.14,7.24,6.57,21.12,Poor
2018-09-17,69.29,8.26,24.86,22.30,Poor
2018-09-21,37.52,6.51,7.05,30.30,Poor
2018-10-22,60.36,6.83,10.88,37.21,Poor
2018-10-22,98.47,6.05,5.98,19.01,Poor
2018-11-07,33.56,8.41,18.77,36.13,Poor
2018-11-23,30.25,7.89,14.61,57.10,Average
2018-12-17,90.98,8.20,16.08,17.13,Poor
2018-12-27,43.87,8.91,11.44,39.94,Poor
2019-01-08,39.89,8.15,19.15,44.04,Poor
2019-01-12,92.50,7.74,21.03,16.99,Poor
2019-02-03,65.64,7.08,23.03,30.96,Poor
2019-02-19,1.64,6.15,14.03,60.39,Average
2019-03-11,12.00,7.11,21.08,82.56,Good
2019-03-20,62.86,7.43,19.54,35.97,Poor
2019-04-18,58.84,7.76,23.69,41.18,Poor
2019-04-19,61.33,8.66,11.02,36.91,Poor
2019-05-12,76.54,6.82,20.53,19.16,Poor
2019-05-22,32.01,7.13,16.34,74.40,Good
2019-06-08,79.49,6.50,13.47,18.65,Poor
2019-06-15,7.10,7.15,16.13,81.53,Good
2019-07-14,84.71,6.26,17.55,19.22,Poor
2019-07-25,92.03,6.88,12.16,17.03,Poor
2019-08-01,31.96,7.37,18.28,74.52,Good
2019-08-22,68.45,8.04,15.17,24.45,Poor
2019-09-03,64.19,8.53,5.64,27.36,Poor
2019-09-05,34.86,8.99,23.88,34.30,Poor
2019-10-06,5.50,6.12,13.19,49.59,Poor
2019-10-20,65.98,8.20,14.68,30.25,Poor
2019-11-06,93.13,6.18,22.41,18.63,Poor
2019-11-09,20.48,8.52,11.75,22.40,Poor
2019-12-14,19.21,6.88,7.22,19.28,Poor
2019-12-22,96.51,7.06,5.13,16.74,Poor
2020-01-03,89.07,8.51,19.58,17.32,Poor
2020-01-28,26.64,6.51,22.24,80.25,Good
2020-02-24,64.42,6.21,20.04,33.34,Poor
2020-02-28,39.56,6.18,15.86,59.57,Average
2020-03-08,75.52,8.73,5.28,18.20,Poor
2020-03-28,21.82,6.22,6.96,20.86,Poor
2020-04-23,42.23,7.34,22.38,57.67,Average
2020-04-25,77.64,8.02,24.95,18.97,Poor
2020-05-06,88.85,7.96,5.81,17.34,Poor
2020-05-17,94.98,7.64,14.41,16.82,Poor
2020-06-15,70.35,7.37,12.29,20.35,Poor
2020-06-23,37.14,6.47,21.61,64.03,Average
2020-07-10,35.34,8.82,8.13,29.22,Poor
2020-07-19,54.17,7.01,9.00,36.35,Poor
2020-08-17,15.82,8.19,7.53,19.46,Poor
2020-08-20,51.91,8.55,12.22,42.19,Poor
2020-09-20,16.34,8.00,24.58,24.05,Poor
2020-09-25,86.53,6.73,9.17,17.62,Poor
2020-10-21,38.93,7.35,11.43,45.92,Poor
2020-10-27,11.00,7.22,12.03,50.38,Average
2020-11-22,21.33,8.31,12.94,23.32,Poor
2020-11-24,59.75,8.34,16.90,40.13,Poor
2020-12-08,32.98,8.62,10.65,29.12,Poor
2020-12-11,85.82,8.16,13.84,17.71,Poor
2021-01-03,51.39,6.86,22.54,48.58,Poor
2021-01-20,12.00,6.87,10.96,37.08,Poor
2021-02-08,82.23,7.91,16.05,18.22,Poor
2021-02-11,17.48,7.11,5.17,18.14,Poor
2021-03-01,30.77,7.36,15.65,77.55,Good
2021-03-01,3.07,6.77,8.74,20.24,Poor
2021-04-21,72.83,7.60,15.09,19.85,Poor
2021-04-22,88.74,7.72,13.06,17.36,Poor
2021-05-23,57.38,8.29,9.89,36.80,Poor
2021-05-28,46.79,6.84,13.08,47.29,Poor
2021-06-12,98.85,7.99,13.73,16.68,Poor
2021-06-17,99.72,7.34,5.58,16.67,Poor
2021-07-20,88.13,7.59,11.97,17.43,Poor
2021-07-26,8.08,7.40,6.64,18.93,Poor
2021-08-02,93.32,7.12,7.71,16.93,Poor
2021-08-21,59.90,6.33,5.88,31.03,Poor
2021-09-01,88.45,6.91,19.22,17.39,Poor
2021-09-19,1.61,7.94,23.03,47.85,Poor
2021-10-22,26.76,7.77,13.15,57.97,Average
2021-10-25,47.02,8.69,18.08,42.19,Poor
2021-11-03,89.43,8.95,23.11,17.28,Poor
2021-11-07,35.33,6.42,13.60,60.30,Average
2021-12-16,26.77,8.72,6.45,18.82,Poor
2021-12-27,5.39,7.74,11.23,40.83,Poor
2022-01-20,42.55,8.38,16.54,43.22,Poor
2022-01-22,11.00,6.79,23.04,82.15,Good
2022-02-18,5.09,6.98,20.79,83.18,Good
2022-02-20,63.32,6.91,11.58,35.24,Poor
2022-03-06,71.02,7.43,24.06,20.21,Poor
2022-03-22,39.53,8.62,20.39,40.68,Poor
2022-04-03,18.93,8.06,21.08,23.94,Poor
2022-04-11,65.76,8.58,17.76,30.71,Poor
2022-05-06,2.74,7.10,8.91,20.36,Poor
2022-05-24,20.19,8.89,19.87,22.44,Poor
2022-06-05,29.62,8.30,17.15,23.50,Poor
2022-06-06,58.69,8.85,20.37,40.11,Poor
2022-07-07,27.39,7.75,17.02,69.99,Average
2022-07-18,38.23,8.37,11.44,37.50,Poor
2022-08-01,2.74,6.46,6.08,18.86,Poor
2022-08-18,77.36,7.78,18.42,19.02,Poor
2022-09-05,26.73,7.17,23.65,80.23,Good
2022-09-14,35.41,7.65,22.85,65.13,Average
2022-10-15,19.61,7.57,15.93,78.09,Good
2022-10-18,27.27,6.11,18.30,69.36,Average
2022-11-13,84.82,6.83,11.91,17.85,Poor
2022-11-16,33.27,8.39,7.87,25.97,Poor
2022-12-17,8.25,8.52,21.00,23.09,Poor
2022-12-25,24.39,7.91,17.26,54.76,Average
2023-01-11,56.33,6.00,8.16,34.79,Poor
2023-01-13,13.06,7.74,12.00,49.98,Poor
2023-02-03,28.05,8.42,17.97,23.28,Poor
2023-02-16,5.25,7.22,18.71,82.65,Good
2023-03-07,49.35,6.22,7.90,35.36,Poor
2023-03-07,26.23,6.70,14.06,70.93,Good
2023-04-05,22.00,6.37,19.13,78.32,Good
2023-04-10,47.13,8.61,24.46,42.60,Poor
2023-05-24,1.24,6.20,21.68,74.04,Good
2023-05-27,58.05,7.83,19.23,42.03,Poor
2023-06-12,39.74,6.38,12.52,51.68,Average
2023-06-14,73.98,7.05,7.50,19.45,Poor
2023-07-23,79.10,7.62,6.61,18.72,Poor
2023-07-26,9.09,6.05,7.82,22.53,Poor
2023-08-23,23.07,6.46,23.47,79.93,Good
2023-08-26,10.84,6.17,17.32,72.89,Good
2023-09-07,64.07,7.68,9.39,31.60,Poor
2023-09-09,10.55,8.09,14.58,23.89,Poor
2023-10-18,58.21,8.24,19.51,41.86,Poor
2023-10-18,24.24,6.52,16.62,80.69,Good
2023-11-04,22.76,6.39,13.99,69.87,Average
2023-11-26,94.82,8.64,17.68,16.83,Poor
2023-12-04,32.47,6.57,18.41,73.27,Good
2023-12-17,37.72,6.27,13.01,55.14,Average
